id,app_id,name,descr,lang_code,is_active,cr_by,cr_dtimes
approveRegistrationRoot,10003,approveRegistrationRoot,approveRegistrationRoot,fra,TRUE,superadmin,now()
loginRoot,10003,loginRoot,loginRoot,fra,TRUE,superadmin,now()
lostUINRoot,10003,lostUINRoot,lostUINRoot,fra,TRUE,superadmin,now()
newRegistrationRoot,10003,newRegistrationRoot,newRegistrationRoot,fra,TRUE,superadmin,now()
onBoardRoot,10003,onBoardRoot,onBoardRoot,fra,TRUE,superadmin,now()
registrationCorrectionRoot,10003,registrationCorrectionRoot,registrationCorrectionRoot,fra,TRUE,superadmin,now()
sendPacketServerRoot,10003,sendPacketServerRoot,sendPacketServerRoot,fra,TRUE,superadmin,now()
syncServerClientRoot,10003,syncServerClientRoot,syncServerClientRoot,fra,TRUE,superadmin,now()
uinActivationRoot,10003,uinActivationRoot,uinActivationRoot,fra,TRUE,superadmin,now()
uinUpdateRoot,10003,uinUpdateRoot,uinUpdateRoot,fra,TRUE,superadmin,now()
updateClientSoftwareRoot,10003,updateClientSoftwareRoot,updateClientSoftwareRoot,fra,TRUE,superadmin,now()
reportRoot,10003,reportRoot,reportRoot,fra,TRUE,superadmin,now()
syncClientServerRoot,10003,syncClientServerRoot,syncClientServerRoot,fra,TRUE,superadmin,now()
eodRoot,10003,eodroot,eodroot,fra,TRUE,superadmin,now()
reRegisterRoot,10003,reRegisterRoot,reRegisterRoot,fra,TRUE,superadmin,now()
uploadPacketRoot,10003,uploadPacketRoot,uploadPacketRoot,fra,TRUE,superadmin,now()